2.0E-4,3672.4
4.0E-4,760.1
6.0E-4,184.5
8.0E-4,162.0
0.001,96.6
0.0012,85.5
0.0014,68.1
0.0016,69.7
0.0018,70.0
0.002,48.5
0.0022,66.9
0.0024,49.5
0.0026,49.1
0.0028,53.9
0.003,48.5
0.0032,47.3
0.0034,53.8
0.0036,47.6
0.0038,47.9
0.004,43.5
0.0042,43.9
0.0044,43.7
0.0046,42.8
0.0048,43.8
0.005,43.2
0.0052,43.5
0.0054,42.7
0.0056,43.7
0.0058,48.7
0.006,42.0
0.0062,43.8
0.0064,42.9
0.0066,42.4
0.0068,43.1
0.007,43.6
0.0072,44.7
0.0074,42.8
0.0076,44.0
0.0078,48.6
0.008,41.6
0.0082,46.0
0.0084,41.3
0.0086,42.7
0.0088,42.9
0.009,41.9
0.0092,42.6
0.0094,42.5
0.0096,42.9
0.0098,40.6
0.01,43.3
